Perimeter,Area,Latrine,Pixel_count,Mean_deg_slope,Mean_aspect
12.8966026,5.1703028,L75,3958,15.27249079,199.6762607
19.75097252,11.21191798,L77,8585,11.94539893,109.2168647
22.39167591,24.02626724,L80,18429,20.47807333,126.1945196
19.92444365,17.40455964,L81,13348,10.55105329,200.2004821
8.04915933,3.725799739,L111,2857,17.48177342,167.4466419
14.14942008,8.379829322,L73,6431,23.32035317,174.2459148
24.16110112,18.06118569,L71,13853,21.15259618,189.1520214
13.30533128,7.238817259,L70,5551,22.24657,207.1601582
10.84385719,6.384743043,L112,4899,22.44808245,168.5010484
22.41882773,25.50060966,L55,19564,8.126764157,38.01279886
30.75027411,46.9270274,L56,36006,10.14661697,23.02058791
45.57314269,65.04178483,L83,49881,16.16322396,139.9597386
27.54198395,37.33450374,L85,28632,11.95084446,164.9867826
36.65707353,50.74795752,L86,38905,19.43569646,123.2094887
90.97839407,159.7420379,L91,122497,15.98988196,142.5554565
18.84624268,17.93923786,L58,13766,18.65191614,175.5004109
31.04654679,35.09089732,L57B,26901,18.84148983,127.9982284
11.005033,7.001698436,L79,5372,10.85514843,239.8503623
39.38651236,47.32810803,L57A,36299,9.232564965,43.19503666
34.16940739,31.55470703,L51,24194,20.43413788,132.1715168
